Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Dominik Szoboszlai,hu HUN,MF,22,45,30,2699.0,30.0,7.0,4.0,11.0,7.0,0.0,0.0,1.0,0.0,4.2,4.2,6.2,10.4,86.0,184.0,187.0,0.23,0.13,0.37,0.23,0.37,0.16,0.23,0.39,0.16,0.39,Matches,2023-2024,Liverpool
Trent Alexander-Arnold,eng ENG,DF,24,37,29,2609.0,29.0,3.0,10.0,13.0,3.0,0.0,0.0,7.0,0.0,2.8,2.5,7.6,10.1,53.0,235.0,114.0,0.1,0.34,0.45,0.1,0.45,0.1,0.28,0.38,0.09,0.37,Matches,2023-2024,Liverpool
Ibrahima Konaté,fr FRA,DF,24,37,29,2586.0,28.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.7,0.7,0.5,1.1,31.0,143.0,3.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,Matches,2023-2024,Liverpool
Jarell Quansah,eng ENG,DF,20,33,27,2495.0,27.7,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,1.2,1.2,0.1,1.3,19.0,91.0,4.0,0.11,0.11,0.22,0.11,0.22,0.06,0.0,0.07,0.06,0.07,Matches,2023-2024,Liverpool
Caoimhín Kelleher,ie IRL,GK,24,26,26,2400.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Liverpool
Andrew Robertson,sct SCO,DF,29,30,23,2193.0,24.4,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,2.3,2.3,5.8,8.1,74.0,162.0,136.0,0.12,0.08,0.21,0.12,0.21,0.1,0.26,0.37,0.1,0.37,Matches,2023-2024,Liverpool
Curtis Jones,eng ENG,MF,22,36,24,2030.0,22.6,5.0,3.0,8.0,5.0,0.0,0.0,3.0,1.0,3.0,3.0,1.7,4.6,43.0,89.0,102.0,0.22,0.13,0.35,0.22,0.35,0.17,0.1,0.27,0.17,0.27,Matches,2023-2024,Liverpool
Ryan Gravenberch,nl NED,MF,21,38,21,1833.0,20.4,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,3.6,3.6,2.4,6.0,48.0,110.0,91.0,0.2,0.1,0.29,0.2,0.29,0.22,0.15,0.37,0.22,0.37,Matches,2023-2024,Liverpool
Diogo Jota,pt POR,FW,26,32,19,1711.0,19.0,15.0,4.0,19.0,15.0,0.0,0.0,3.0,1.0,7.4,7.4,4.4,11.8,62.0,39.0,135.0,0.79,0.21,1.0,0.79,1.0,0.48,0.29,0.77,0.48,0.77,Matches,2023-2024,Liverpool
Conor Bradley,nir NIR,DF,20,23,17,1501.0,16.7,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.5,2.4,39.0,40.0,76.0,0.06,0.36,0.42,0.06,0.42,0.08,0.14,0.22,0.08,0.22,Matches,2023-2024,Liverpool
Kostas Tsimikas,gr GRE,DF,27,25,17,1466.0,16.3,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,1.4,40.0,63.0,94.0,0.0,0.25,0.25,0.0,0.25,0.02,0.1,0.12,0.02,0.12,Matches,2023-2024,Liverpool
Joël Matip,cm CMR,DF,31,14,12,1060.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.1,1.0,11.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches,2023-2024,Liverpool
Bobby Clark,eng ENG,MF,18,12,3,356.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,4.0,8.0,15.0,0.25,0.51,0.76,0.25,0.76,0.3,0.11,0.41,0.3,0.41,Matches,2023-2024,Liverpool
Ben Doak,sct SCO,FW,17,5,4,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2023-2024,Liverpool
James McConnell,eng ENG,MF,18,9,2,240.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.37,0.37,0.0,0.37,0.03,0.0,0.03,0.03,0.03,Matches,2023-2024,Liverpool
Luke Chambers,eng ENG,DF,19,4,2,138.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Liverpool
Stefan Bajcetic,es ESP,MF,18,3,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,2023-2024,Liverpool
Jayden Danns,eng ENG,FW,17,5,0,83.0,0.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.17,0.0,2.17,2.17,2.17,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Liverpool
Kaide Gordon,eng ENG,FW,18,3,1,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Liverpool
Lewis Koumas,wls WAL,MF,17,1,1,62.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.45,0.0,1.45,1.45,1.45,,,,,,Matches,2023-2024,Liverpool
Calum Scanlon,eng ENG,MF,18,2,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Liverpool
Mateusz Musialowski,pl POL,MF,19,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,Matches,2023-2024,Liverpool
Trey Nyoni,eng ENG,MF,16,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2023-2024,Liverpool
Owen Beck,wls WAL,DF,20,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Liverpool
Thiago Alcántara,es ESP,MF,32,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Liverpool
Fabian Mrozek,pl POL,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Liverpool
Marcelo Pitaluga,br BRA,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Liverpool
Adrián,es ESP,GK,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Liverpool
Amara Nallo,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Liverpool
Vitezslav Jaros,cz CZE,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Liverpool
Thomas Hill,wls WAL,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Liverpool
